Name,Location,Status,Screens
Starlight Drive-In,"Cartersville, GA, United States",Closed,1
Starlite Drive-In,"Macon, GA, United States",Closed,1
"Starlite Drive-In Starlite Drive-In U.S.17 & Carrie Street Brunswick, GA 31520 United States","Brunswick, GA, United States",Closed,2
"Starlite Drive-In Starlite Drive-In McFarland Avenue & Salem Road Rossville, GA 30741 United States","Rossville, GA, United States",Closed,1
"Starlite Drive-In Starlite Drive-In N. Columbia Street & Hammock Road NW Milledgeville, GA 31061 United States","Milledgeville, GA, United States",Closed,1
"Starry Night Drive-In Starry Night Drive-In 500 Riley Avenue Fort Valley, GA 31030 United States","Fort Valley, GA, United States",Closed,1
"State Theatre State Theatre 109 Washington Street SE Gainesville, GA 30501 United States","Gainesville, GA, United States",Closed,1
"State Theatre State Theatre 10 E. Main Street Statesboro, GA 30461 United States","Statesboro, GA, United States",Closed,1
"Stewart Drive-In Stewart Drive-In 2685 Metropolitan Parkway Atlanta, GA 30315 United States","Atlanta, GA, United States",Closed,1
Stewart Drive-In,"Hinesville, GA, United States",Closed,1
"Stonemont Theatre Stonemont Theatre 5400 Memorial Drive Stone Mountain, GA 30083 United States","Stone Mountain, GA, United States",Closed,2
"Strand Cinema Twin Strand Cinema Twin 169 W. Cherry Street Jesup, GA 31545 United States","Jesup, GA, United States",Closed,2
"Strand Theater Strand Theater 120 East Clayton Street Athens, GA 30601 United States","Athens, GA, United States",Closed,1
Strand Theater,"Covington, GA, United States",Closed,1
"Strand Theatre Strand Theatre 700 Broad Street Augusta, GA 30904 United States","Augusta, GA, United States",Closed,1
"Strand Theatre Strand Theatre Broad Street Winder, GA 30680 United States","Winder, GA, United States",Closed,1
Strand Theatre,"Albany, GA, United States",Closed,1
"Strand Theatre Strand Theatre 51 Decatur Street SE Atlanta, GA 30303 United States","Atlanta, GA, United States",Closed,1
Strand Theatre,"Uvalda, GA, United States",Closed,1
"Strand Theatre Strand Theatre 139 Love Street Tifton, GA 31794 United States","Tifton, GA, United States",Closed,1
"Strand Theatre Strand Theatre 206-208 N. Patterson Street Valdosta, GA 31601 United States","Valdosta, GA, United States",Closed,1
"Suburban Plaza Theatre Suburban Plaza Theatre 1512 Church Street Decatur, GA 30030 United States","Decatur, GA, United States",Closed,2
Sunset Drive-In,"Americus, GA, United States",Closed,1
"Sunset Drive-In Sunset Drive-In U.S. 25 & Ross Road Brunswick, GA 31520 United States","Brunswick, GA, United States",Closed,1
"Sunset Drive-In Sunset Drive-In 5th Street S.E. at South Main Street Moultrie, GA 31768 United States","Moultrie, GA, United States",Closed,1
"Swan Theatre Swan Theatre Norcross, GA 30071 United States","Norcross, GA, United States",Closed,1
"Sylvan Theatre Sylvan Theatre 898 Dill Avenue SW Atlanta, GA 30310 United States","Atlanta, GA, United States",Closed,1
"Sylvia Theatre Sylvia Theatre Town Square Sylvania, GA 30467 United States","Sylvania, GA, United States",Closed,1
"Tara Cinema Tara Cinema 12315 Largo Drive Savannah, GA 31419 United States","Savannah, GA, United States",Closed,4
"Tara Theatre Tara Theatre Main Street Jonesboro, GA 30236 United States","Jonesboro, GA, United States",Closed,1
