Feature_group,Metric,Score,Seed
char,macro avg,55.79116534585546,1001
char,weighted avg,42.11924871822718,1001
char,macro avg,53.88285854277996,1002
char,weighted avg,42.08128454506867,1002
char,macro avg,54.52408330733781,1003
char,weighted avg,42.46322601301082,1003
char,macro avg,54.47071446591924,1004
char,weighted avg,42.49788905903949,1004
char,macro avg,55.620804885913266,1005
char,weighted avg,42.67378920300761,1005
rest,macro avg,6.603379045212879,1001
rest,weighted avg,5.01890155401306,1001
rest,macro avg,5.820022526059758,1002
rest,weighted avg,4.821663226967782,1002
rest,macro avg,7.042291381614,1003
rest,weighted avg,5.043251127438745,1003
rest,macro avg,6.832433699307637,1004
rest,weighted avg,4.964793689838106,1004
rest,macro avg,6.723658822079477,1005
rest,weighted avg,5.066003237321987,1005
par,macro avg,3.1694277529290305,1001
par,weighted avg,1.6389516325816473,1001
par,macro avg,2.3402637833657662,1002
par,weighted avg,1.6204590344021357,1002
par,macro avg,3.835798536638372,1003
par,weighted avg,1.6554399211297497,1003
par,macro avg,2.8446404770099267,1004
par,weighted avg,1.6107731246424097,1004
par,macro avg,3.9084920188432863,1005
par,weighted avg,1.838246637110012,1005
word,macro avg,60.79287654835254,1001
word,weighted avg,44.43618095494499,1001
word,macro avg,61.52259766247777,1002
word,weighted avg,44.34111421119958,1002
word,macro avg,61.70365130142902,1003
word,weighted avg,44.46451971764917,1003
word,macro avg,62.25879679104768,1004
word,weighted avg,45.01468542635993,1004
word,macro avg,61.595350771171795,1005
word,weighted avg,44.58994601199054,1005
