Feature_group,Metric,Score,Seed
char,macro avg,34.811080388871915,1001
char,weighted avg,27.098876332706794,1001
char,macro avg,35.77257267368191,1002
char,weighted avg,26.526631563389895,1002
char,macro avg,33.56700918302099,1003
char,weighted avg,26.663581852532896,1003
char,macro avg,34.61001231632896,1004
char,weighted avg,26.638810405375814,1004
char,macro avg,35.051736841053746,1005
char,weighted avg,26.68261238919666,1005
rest,macro avg,24.498400506244426,1001
rest,weighted avg,18.358739048701352,1001
rest,macro avg,23.86867346474968,1002
rest,weighted avg,18.031629721850454,1002
rest,macro avg,25.115461946506638,1003
rest,weighted avg,18.32054445900297,1003
rest,macro avg,24.57159062207085,1004
rest,weighted avg,17.969010379411905,1004
rest,macro avg,23.717319504817794,1005
rest,weighted avg,17.853297570071007,1005
par,macro avg,2.249268092768432,1001
par,weighted avg,2.0226831543289574,1001
par,macro avg,3.2264729636324367,1002
par,weighted avg,2.1877691278458378,1002
par,macro avg,4.047597338110105,1003
par,weighted avg,2.2378675663681076,1003
par,macro avg,3.8274897998956536,1004
par,weighted avg,2.198284747166808,1004
par,macro avg,3.003699419439093,1005
par,weighted avg,2.1430082960413332,1005
word,macro avg,34.81433031588095,1001
word,weighted avg,22.5017939365523,1001
word,macro avg,34.73731578151285,1002
word,weighted avg,22.120566125284295,1002
word,macro avg,34.398896968382395,1003
word,weighted avg,22.38826775708302,1003
word,macro avg,34.38382488198095,1004
word,weighted avg,22.81379213354441,1004
word,macro avg,34.86312204665822,1005
word,weighted avg,22.4288971755061,1005
topic,macro avg,35.79072024594939,1001
topic,weighted avg,21.090169890806266,1001
topic,macro avg,36.55021088017836,1002
topic,weighted avg,21.17736785698657,1002
topic,macro avg,36.965555798284555,1003
topic,weighted avg,21.391248236821983,1003
topic,macro avg,35.60725842280905,1004
topic,weighted avg,21.429795859760535,1004
topic,macro avg,38.65764740530337,1005
topic,weighted avg,21.56025821065262,1005
