Feature_group,Metric,Score,Seed
char,macro avg,57.84642716446713,1001
char,weighted avg,45.936850225032686,1001
char,macro avg,57.97605873896939,1002
char,weighted avg,45.92016394196998,1002
char,macro avg,59.309460710715356,1003
char,weighted avg,46.03554989887962,1003
char,macro avg,57.83709070222455,1004
char,weighted avg,45.200210466550786,1004
char,macro avg,57.0473405229283,1005
char,weighted avg,45.679631177624785,1005
rest,macro avg,6.308965637093861,1001
rest,weighted avg,4.620777580231462,1001
rest,macro avg,7.055116080586034,1002
rest,weighted avg,4.568536873925658,1002
rest,macro avg,5.794644837319857,1003
rest,weighted avg,4.479513534077624,1003
rest,macro avg,5.990363833558673,1004
rest,weighted avg,4.481059435715724,1004
rest,macro avg,6.573532912541034,1005
rest,weighted avg,4.565945291567664,1005
par,macro avg,4.017078872087949,1001
par,weighted avg,2.3816944683892007,1001
par,macro avg,4.104876564846779,1002
par,weighted avg,2.4081192281956607,1002
par,macro avg,4.4986747932928,1003
par,weighted avg,2.21726752579313,1003
par,macro avg,5.231218570195149,1004
par,weighted avg,2.6087193031118385,1004
par,macro avg,4.708211761817537,1005
par,weighted avg,2.492059028612735,1005
word,macro avg,65.95862624705693,1001
word,weighted avg,49.416305398616835,1001
word,macro avg,66.27318234063999,1002
word,weighted avg,49.23994341337302,1002
word,macro avg,66.16695119275566,1003
word,weighted avg,49.46142537155616,1003
word,macro avg,66.64058881635752,1004
word,weighted avg,49.922156642654144,1004
word,macro avg,66.24993589023012,1005
word,weighted avg,49.10359136805062,1005
