Feature_group,Metric,Score,Seed
char,macro avg,39.03525478001993,1001
char,weighted avg,31.41871932627479,1001
char,macro avg,37.36490918146681,1002
char,weighted avg,31.773422448180895,1002
char,macro avg,39.35533299269224,1003
char,weighted avg,31.343062347659185,1003
char,macro avg,39.34894054886053,1004
char,weighted avg,31.552478591953566,1004
char,macro avg,40.57103963126106,1005
char,weighted avg,31.935431711626055,1005
rest,macro avg,5.055580688608871,1001
rest,weighted avg,3.2171762564372943,1001
rest,macro avg,4.483233763057921,1002
rest,weighted avg,3.006975843492723,1002
rest,macro avg,4.661685769828395,1003
rest,weighted avg,3.214942220570692,1003
rest,macro avg,5.61522047007331,1004
rest,weighted avg,3.3384949006356974,1004
rest,macro avg,5.596754100924602,1005
rest,weighted avg,3.369485892493999,1005
par,macro avg,4.705772965729539,1001
par,weighted avg,2.665992795331685,1001
par,macro avg,3.224298345260311,1002
par,weighted avg,2.5902480007741717,1002
par,macro avg,4.288719167966125,1003
par,weighted avg,2.4648637697106155,1003
par,macro avg,3.375766553810186,1004
par,weighted avg,2.358372799569745,1004
par,macro avg,4.238503258678656,1005
par,weighted avg,2.3881635783446127,1005
word,macro avg,40.01491596163309,1001
word,weighted avg,26.5640535002006,1001
word,macro avg,38.11905105909975,1002
word,weighted avg,26.267236523047586,1002
word,macro avg,39.04118870140076,1003
word,weighted avg,26.6947512392999,1003
word,macro avg,39.07974189309815,1004
word,weighted avg,26.596006609052537,1004
word,macro avg,36.73348988069877,1005
word,weighted avg,26.329166666565772,1005
topic,macro avg,38.02948913619159,1001
topic,weighted avg,23.4887667092127,1001
topic,macro avg,38.992679726079416,1002
topic,weighted avg,23.6088447645981,1002
topic,macro avg,39.58619950481026,1003
topic,weighted avg,23.525572491590076,1003
topic,macro avg,40.04057800437483,1004
topic,weighted avg,23.64139536348976,1004
topic,macro avg,37.98570581802457,1005
topic,weighted avg,22.936748120844523,1005
