,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.9166666666666666,0.9649122807017544,0.9401709401709402,114,"[('notes', 2), ('type', 1), ('class', 1), ('name', 1), ('code', 1)]","[('location', 1), ('rank', 1), ('code', 1), ('name', 1)]"
1,affiliate,0.16666666666666666,1.0,0.2857142857142857,1,"[('type', 2), ('class', 2), ('description', 1)]",[]
2,affiliation,0.9736842105263158,0.9487179487179487,0.9610389610389611,39,"[('education', 1)]","[('location', 1), ('team', 1)]"
3,age,0.9773584905660377,0.9942418426103646,0.9857278782112273,1042,"[('rank', 11), ('weight', 3), ('depth', 3), ('day', 2), ('plays', 2)]","[('day', 1), ('album', 1), ('position', 1), ('state', 1), ('weight', 1)]"
4,album,0.9306930693069307,0.9337748344370861,0.9322314049586777,302,"[('name', 10), ('artist', 3), ('category', 2), ('classification', 1), ('genre', 1)]","[('artist', 10), ('name', 5), ('team', 1), ('publisher', 1), ('duration', 1)]"
5,area,0.8888888888888888,0.8,0.8421052631578948,10,"[('depth', 1)]","[('city', 1), ('duration', 1)]"
6,artist,0.8964497041420119,0.9409937888198758,0.9181818181818182,322,"[('name', 12), ('album', 10), ('owner', 3), ('category', 2), ('brand', 1)]","[('name', 12), ('album', 3), ('team', 2), ('format', 1), ('location', 1)]"
7,birthDate,1.0,1.0,1.0,10,[],[]
8,birthPlace,1.0,0.9090909090909091,0.9523809523809523,11,[],"[('notes', 1)]"
9,brand,0.8,0.7272727272727273,0.761904761904762,11,"[('type', 1), ('name', 1)]","[('artist', 1), ('name', 1), ('type', 1)]"
10,capacity,1.0,0.6666666666666666,0.8,3,[],"[('duration', 1)]"
11,category,0.9597855227882037,0.9470899470899471,0.9533954727030626,378,"[('type', 4), ('city', 2), ('name', 2), ('description', 1), ('country', 1)]","[('type', 4), ('name', 4), ('artist', 2), ('teamName', 2), ('album', 2)]"
12,city,0.9702176403207331,0.9516853932584269,0.9608621667612025,890,"[('county', 11), ('name', 4), ('region', 3), ('location', 3), ('state', 2)]","[('state', 12), ('team', 12), ('location', 5), ('type', 3), ('category', 2)]"
13,class,0.8514056224899599,0.8060836501901141,0.8281249999999999,263,"[('type', 32), ('position', 2), ('weight', 1), ('state', 1), ('year', 1)]","[('type', 36), ('description', 4), ('affiliate', 2), ('notes', 2), ('name', 2)]"
14,classification,1.0,0.6666666666666666,0.8,6,[],"[('album', 1), ('notes', 1)]"
15,club,0.9895833333333334,0.9620253164556962,0.975609756097561,395,"[('album', 1), ('code', 1), ('team', 1), ('symbol', 1)]","[('team', 10), ('name', 2), ('manufacturer', 1), ('notes', 1), ('category', 1)]"
16,code,0.9775967413441955,0.975609756097561,0.9766022380467956,492,"[('weight', 2), ('symbol', 2), ('component', 2), ('class', 2), ('product', 1)]","[('symbol', 6), ('team', 2), ('fileSize', 1), ('address', 1), ('rank', 1)]"
17,collection,1.0,1.0,1.0,11,[],[]
18,command,0.7142857142857143,0.7142857142857143,0.7142857142857143,7,"[('year', 1), ('category', 1)]","[('type', 1), ('publisher', 1)]"
19,company,0.9427312775330396,0.9427312775330396,0.9427312775330396,227,"[('name', 5), ('team', 1), ('position', 1), ('type', 1), ('operator', 1)]","[('name', 5), ('type', 2), ('artist', 1), ('manufacturer', 1), ('product', 1)]"
20,component,0.8888888888888888,0.8,0.8421052631578948,20,"[('requirement', 1), ('owner', 1)]","[('name', 2), ('code', 2)]"
21,continent,1.0,0.8571428571428571,0.923076923076923,7,[],"[('country', 1)]"
22,country,0.9383886255924171,0.8959276018099548,0.9166666666666667,221,"[('team', 5), ('category', 1), ('result', 1), ('nationality', 1), ('currency', 1)]","[('team', 12), ('symbol', 4), ('city', 1), ('category', 1), ('rank', 1)]"
23,county,0.9605263157894737,0.8202247191011236,0.8848484848484848,89,"[('city', 2), ('category', 1)]","[('city', 11), ('team', 2), ('type', 1), ('artist', 1), ('state', 1)]"
24,creator,1.0,0.75,0.8571428571428571,4,[],"[('type', 1)]"
25,credit,0.9333333333333333,0.9333333333333333,0.9333333333333333,15,"[('category', 1)]","[('name', 1)]"
26,currency,1.0,0.6666666666666666,0.8,3,[],"[('country', 1)]"
27,day,0.975,0.8666666666666667,0.9176470588235294,45,"[('age', 1)]","[('age', 2), ('rank', 2), ('type', 1), ('name', 1)]"
28,depth,0.5,0.2857142857142857,0.36363636363636365,7,"[('weight', 1), ('product', 1)]","[('age', 3), ('area', 1), ('rank', 1)]"
29,description,0.9744360902255639,0.9773755656108597,0.9759036144578314,1326,"[('type', 9), ('notes', 9), ('name', 6), ('class', 4), ('origin', 1)]","[('name', 9), ('type', 4), ('notes', 3), ('publisher', 2), ('category', 1)]"
30,director,1.0,1.0,1.0,3,[],[]
31,duration,0.82,0.9761904761904762,0.8913043478260869,42,"[('rank', 2), ('capacity', 1), ('album', 1), ('weight', 1), ('year', 1)]","[('result', 1)]"
32,education,0.0,0.0,0.0,1,[],"[('affiliation', 1)]"
33,elevation,1.0,0.9512195121951219,0.975,41,[],"[('rank', 1), ('weight', 1)]"
34,family,1.0,0.6,0.7499999999999999,5,[],"[('artist', 1), ('position', 1)]"
35,fileSize,0.8333333333333334,1.0,0.9090909090909091,5,"[('code', 1)]",[]
36,format,0.9871794871794872,0.9746835443037974,0.980891719745223,79,"[('artist', 1)]","[('product', 1), ('type', 1)]"
37,gender,1.0,0.9658119658119658,0.9826086956521739,117,[],"[('sex', 3), ('language', 1)]"
38,genre,0.8620689655172413,0.8928571428571429,0.8771929824561403,28,"[('year', 2), ('language', 1), ('team', 1)]","[('album', 1), ('language', 1), ('category', 1)]"
39,grades,1.0,1.0,1.0,18,[],[]
40,industry,1.0,1.0,1.0,38,[],[]
41,isbn,0.6666666666666666,1.0,0.8,4,"[('name', 1), ('description', 1)]",[]
42,jockey,0.9333333333333333,0.9333333333333333,0.9333333333333333,15,"[('owner', 1)]","[('name', 1)]"
43,language,0.7575757575757576,0.78125,0.7692307692307692,32,"[('type', 3), ('rank', 1), ('genre', 1), ('nationality', 1), ('gender', 1)]","[('notes', 3), ('team', 2), ('genre', 1), ('status', 1)]"
44,location,0.9562841530054644,0.9704251386321626,0.9633027522935779,541,"[('name', 6), ('city', 5), ('status', 4), ('position', 1), ('affiliation', 1)]","[('name', 4), ('city', 3), ('team', 2), ('description', 1), ('state', 1)]"
45,manufacturer,0.8181818181818182,0.9,0.8571428571428572,10,"[('company', 1), ('club', 1)]","[('company', 1)]"
46,name,0.9650859822824388,0.9645833333333333,0.9648345923417556,1920,"[('artist', 12), ('description', 9), ('type', 6), ('album', 5), ('company', 5)]","[('artist', 12), ('album', 10), ('team', 9), ('location', 6), ('description', 6)]"
47,nationality,0.9333333333333333,0.8235294117647058,0.8749999999999999,17,"[('country', 1)]","[('country', 1), ('artist', 1), ('language', 1)]"
48,notes,0.8902439024390244,0.9049586776859504,0.8975409836065574,242,"[('status', 3), ('language', 3), ('description', 3), ('type', 2), ('class', 2)]","[('description', 9), ('type', 5), ('team', 2), ('address', 2), ('result', 1)]"
49,operator,1.0,0.8571428571428571,0.923076923076923,7,[],"[('company', 1)]"
50,order,0.9285714285714286,0.8666666666666667,0.896551724137931,15,"[('description', 1)]","[('description', 1), ('rank', 1)]"
51,origin,1.0,0.75,0.8571428571428571,8,[],"[('description', 1), ('category', 1)]"
52,owner,1.0,0.76,0.8636363636363636,25,[],"[('artist', 3), ('component', 1), ('jockey', 1), ('name', 1)]"
53,person,0.5,0.3333333333333333,0.4,3,"[('name', 1)]","[('artist', 1), ('name', 1)]"
54,plays,0.9523809523809523,0.8695652173913043,0.909090909090909,23,"[('rank', 1)]","[('age', 2), ('rank', 1)]"
55,position,0.9575163398692811,0.9701986754966887,0.9638157894736842,302,"[('rank', 5), ('status', 2), ('ranking', 1), ('type', 1), ('sales', 1)]","[('rank', 3), ('class', 2), ('company', 1), ('category', 1), ('location', 1)]"
56,product,0.8421052631578947,0.8888888888888888,0.8648648648648649,18,"[('description', 1), ('company', 1), ('format', 1)]","[('code', 1), ('depth', 1)]"
57,publisher,0.7333333333333333,0.9565217391304348,0.8301886792452831,23,"[('description', 2), ('name', 2), ('location', 1), ('album', 1), ('type', 1)]","[('type', 1)]"
58,range,1.0,0.8125,0.896551724137931,16,[],"[('name', 3)]"
59,rank,0.974025974025974,0.9569377990430622,0.9654062751407885,627,"[('position', 3), ('ranking', 2), ('day', 2), ('class', 1), ('country', 1)]","[('age', 11), ('position', 5), ('duration', 2), ('notes', 2), ('type', 1)]"
60,ranking,1.0,0.25,0.4,4,[],"[('rank', 2), ('position', 1)]"
61,region,1.0,0.8421052631578947,0.9142857142857143,38,[],"[('city', 3), ('team', 2), ('location', 1)]"
62,requirement,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,"[('description', 1)]","[('component', 1)]"
63,result,0.9879518072289156,0.9723320158102767,0.9800796812749004,253,"[('team', 1), ('notes', 1), ('duration', 1)]","[('country', 1), ('notes', 1), ('type', 1), ('age', 1), ('duration', 1)]"
64,sales,1.0,0.8,0.888888888888889,5,[],"[('position', 1)]"
65,service,1.0,0.5,0.6666666666666666,4,[],"[('notes', 1), ('company', 1)]"
66,sex,0.9545454545454546,0.984375,0.9692307692307692,64,"[('gender', 3)]","[('category', 1)]"
67,species,1.0,0.75,0.8571428571428571,8,[],"[('name', 1), ('country', 1)]"
68,state,0.9792746113989638,0.9818181818181818,0.980544747081712,770,"[('city', 12), ('location', 1), ('county', 1), ('age', 1), ('status', 1)]","[('type', 4), ('city', 2), ('notes', 2), ('class', 1), ('name', 1)]"
69,status,0.9768451519536903,0.974025974025974,0.9754335260115606,693,"[('name', 4), ('type', 4), ('language', 1), ('location', 1), ('team', 1)]","[('location', 4), ('type', 4), ('notes', 3), ('position', 2), ('team', 1)]"
70,symbol,0.9257142857142857,0.9759036144578314,0.9501466275659823,166,"[('code', 6), ('country', 4), ('rank', 1), ('state', 1), ('company', 1)]","[('code', 2), ('type', 1), ('club', 1)]"
71,team,0.8958652373660031,0.9782608695652174,0.9352517985611511,598,"[('city', 12), ('country', 12), ('club', 10), ('name', 9), ('language', 2)]","[('country', 5), ('company', 1), ('status', 1), ('result', 1), ('genre', 1)]"
72,teamName,0.9411764705882353,0.9411764705882353,0.9411764705882353,51,"[('category', 2), ('name', 1)]","[('team', 2), ('notes', 1)]"
73,type,0.8809523809523809,0.888,0.8844621513944223,625,"[('class', 36), ('notes', 5), ('description', 4), ('category', 4), ('status', 4)]","[('class', 32), ('description', 9), ('name', 6), ('category', 4), ('status', 4)]"
74,weight,0.9912739965095986,0.9844020797227037,0.9878260869565217,577,"[('year', 1), ('description', 1), ('rank', 1), ('elevation', 1), ('age', 1)]","[('age', 3), ('code', 2), ('class', 1), ('depth', 1), ('duration', 1)]"
75,year,0.9969088098918083,0.9877488514548239,0.9923076923076922,653,"[('location', 1), ('rank', 1)]","[('genre', 2), ('command', 1), ('weight', 1), ('notes', 1), ('class', 1)]"
