,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.990909090909091,0.956140350877193,0.9732142857142858,114,"[('manufacturer', 1)]","[('location', 3), ('result', 1), ('code', 1)]"
1,affiliate,0.0,0.0,0.0,1,[],"[('class', 1)]"
2,affiliation,1.0,0.9743589743589743,0.9870129870129869,39,[],"[('city', 1)]"
3,age,0.9534016775396086,0.9817658349328215,0.9673758865248228,1042,"[('rank', 28), ('weight', 8), ('position', 5), ('plays', 3), ('category', 1)]","[('notes', 8), ('rank', 5), ('artist', 2), ('duration', 1), ('name', 1)]"
4,album,0.8885448916408669,0.9503311258278145,0.9184,302,"[('name', 18), ('artist', 4), ('team', 2), ('description', 2), ('type', 2)]","[('artist', 5), ('name', 2), ('notes', 2), ('team', 1), ('publisher', 1)]"
5,area,0.6666666666666666,0.4,0.5,10,"[('name', 1), ('region', 1)]","[('rank', 3), ('type', 1), ('county', 1), ('range', 1)]"
6,artist,0.901840490797546,0.9130434782608695,0.9074074074074073,322,"[('name', 11), ('album', 5), ('description', 2), ('owner', 2), ('team', 2)]","[('name', 18), ('album', 4), ('class', 2), ('manufacturer', 1), ('city', 1)]"
7,birthDate,0.9090909090909091,1.0,0.9523809523809523,10,"[('class', 1)]",[]
8,birthPlace,0.9,0.8181818181818182,0.8571428571428572,11,"[('status', 1)]","[('state', 1), ('notes', 1)]"
9,brand,0.8571428571428571,0.5454545454545454,0.6666666666666665,11,"[('service', 1)]","[('manufacturer', 2), ('category', 1), ('name', 1), ('type', 1)]"
10,capacity,0.16666666666666666,0.6666666666666666,0.26666666666666666,3,"[('city', 5), ('state', 4), ('weight', 1)]","[('notes', 1)]"
11,category,0.9191919191919192,0.9629629629629629,0.9405684754521964,378,"[('description', 5), ('name', 5), ('type', 5), ('component', 3), ('position', 2)]","[('type', 5), ('name', 4), ('country', 1), ('age', 1), ('team', 1)]"
12,city,0.9456762749445676,0.9584269662921349,0.9520089285714286,890,"[('name', 9), ('location', 9), ('team', 7), ('region', 6), ('state', 5)]","[('class', 6), ('county', 6), ('capacity', 5), ('notes', 5), ('state', 4)]"
13,class,0.7056962025316456,0.8479087452471483,0.770293609671848,263,"[('type', 44), ('notes', 9), ('city', 6), ('position', 5), ('status', 4)]","[('notes', 18), ('type', 9), ('name', 4), ('year', 2), ('description', 2)]"
14,classification,1.0,0.5,0.6666666666666666,6,[],"[('status', 1), ('team', 1), ('category', 1)]"
15,club,0.9795918367346939,0.9721518987341772,0.9758576874205843,395,"[('name', 2), ('team', 1), ('teamName', 1), ('publisher', 1), ('county', 1)]","[('team', 4), ('city', 3), ('state', 2), ('artist', 1), ('notes', 1)]"
16,code,0.991701244813278,0.9715447154471545,0.9815195071868583,492,"[('product', 1), ('address', 1), ('component', 1), ('class', 1)]","[('symbol', 6), ('class', 3), ('name', 2), ('rank', 2), ('component', 1)]"
17,collection,1.0,0.8181818181818182,0.9,11,[],"[('category', 1), ('location', 1)]"
